,title,final_price,list_price,bedrooms,bathrooms,sqft,parking,,
175,"208 - 3091 Dufferin St, Toronto (W4488444) | Zoocasa","499,900","465,900",1,1,550,0,,
176,"1705 - 5 Old Sheppard Ave, Toronto (C4495447) | Zoocasa","450,017","399,900",3,2,1100,2,,
178,"123 Joicey Blvd, Toronto (C4499934) | Zoocasa","2,775,000","2,825,000",4,5,N/A ,3,,
179,"60 - 371 Orton Park Rd, Toronto (E4501722) | Zoocasa","505,000","499,000",3,2,1100,1,,
181,"10 Baytree Cres, Toronto (C4468456) | Zoocasa","4,690,000","5,095,000",5,6,N/A ,10,,
182,"1901E - 36 Lisgar St, Toronto (C4507524) | Zoocasa","408,000","374,888",1,1,250,0,,
184,"220 - 35 Boardwalk Dr, Toronto (E4481394) | Zoocasa","976,000","999,900",2,2,1100,1,,
189,"30 - 3000 Midland Ave, Toronto (E4514003) | Zoocasa","615,000","549,000",3,3,1500,1,,
190,"1011 - 8 Mondeo Dr, Toronto (E4503146) | Zoocasa","368,000","378,000",1,1,650,1,,
191,"902 - 39 Sherbourne St, Toronto (C4511137) | Zoocasa","510,000","529,000",1,1,550,0,,
192,"47 Fieldside Dr, Toronto (E4519828) | Zoocasa","740,000","599,000",3,4,N/A ,5,,
193,"15 Shadowbrook Dr, Toronto (W4500593) | Zoocasa","865,000","899,000",3,2,1300,3,,
194,"208 - 3091 Dufferin St, Toronto (W4488444) | Zoocasa","499,900","465,900",1,1,550,0,,
196,"8 Fairfax Cres, Toronto (E4515572) | Zoocasa","795,000","749,900",3,2,N/A ,6,,
198,"350 Melita Ave, Toronto (C4514051) | Zoocasa","901,000","799,000",3,2,N/A ,1,,
202,"617 - 5 Rosehill Ave, Toronto (C4515191) | Zoocasa","787,000","599,300",2,2,750,1,,
203,"713 - 208 Queens Quay W, Toronto (C4431970) | Zoocasa","480,000","484,900",1,1,550,0,,
204,"4 Murdock Ave, Toronto (E4513308) | Zoocasa","875,000","799,900",3,1,N/A ,1,,
207,"1101 - 150 Alton Towers Circ, Toronto (E4504574) | Zoocasa","405,000","395,000",2,2,1100,1,,
208,"4101 - 300 Front St W, Toronto (C4400824) | Zoocasa","975,000","1,039,900",2,2,850,1,,
213,"406 - 235 Grandravine Dr, Toronto (W4508151) | Zoocasa","219,000","219,900",1,1,650,1,,
214,"9 Farningham Cres, Toronto (W4448179) | Zoocasa","2,075,000","2,198,000",4,4,N/A ,4,,
215,"1101 - 205 Frederick St, Toronto (C4518626) | Zoocasa","610,000","499,900",1,1,550,1,,
216,"648 - 53 Mccaul St, Toronto (C4512430) | Zoocasa","526,000","499,000",2,1,750,0,,
218,"1203 - 68 Canterbury Pl, Toronto (C4508937) | Zoocasa","443,000","399,000",1,1,550,0,,
219,"1108 - 150 Sudbury St, Toronto (C4513896) | Zoocasa","566,000","565,900",2,2,750,0,,
221,"1806 - 270 Scarlett Rd, Toronto (W4511067) | Zoocasa","475,500","478,000",1,1,850,1,,
224,"201 - 10 Edgecliff Gfwy, Toronto (C4501378) | Zoocasa","430,000","434,900",3,2,1100,1,,
226,"1204 - 633 Bay St, Toronto (C4471671) | Zoocasa","718,000","749,000",2,2,1100,0,,
228,"20 Kilkenny Dr, Toronto (E4514134) | Zoocasa","1,005,605","900,000",3,3,N/A ,2,,
229,"113 - 2351 Kennedy Rd, Toronto (E4371404) | Zoocasa","435,000","465,000",2,2,950,1,,
231,"68 Royalavon Cres, Toronto (W4495989) | Zoocasa","1,310,000","1,399,900",5,2,2750,5,,
232,"32 - 36 Gibson Ave, Toronto (W4520319) | Zoocasa","503,000","497,999",3,2,1300,1,,
234,"2903 - 832 Bay St, Toronto (C4505618) | Zoocasa","968,000","979,000",2,2,850,1,,
235,"1101 - 205 Frederick St, Toronto (C4518626) | Zoocasa","610,000","499,900",1,1,550,1,,
238,"4 Murdock Ave, Toronto (E4513308) | Zoocasa","875,000","799,900",3,1,N/A ,1,,
239,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
242,"2704 - 10 Tangreen Crt, Toronto (C4503189) | Zoocasa","546,000","559,000",3,2,1300,1,,
244,"6 Roseheath Ave, Toronto (E4519858) | Zoocasa","950,000","799,000",2,2,N/A ,0,,
247,"648 - 53 Mccaul St, Toronto (C4512430) | Zoocasa","526,000","499,000",2,1,750,0,,
249,"406 - 235 Grandravine Dr, Toronto (W4508151) | Zoocasa","219,000","219,900",1,1,650,1,,
250,"1204 - 633 Bay St, Toronto (C4471671) | Zoocasa","718,000","749,000",2,2,1100,0,,
252,"20 Kilkenny Dr, Toronto (E4514134) | Zoocasa","1,005,605","900,000",3,3,N/A ,2,,
258,"4101 - 300 Front St W, Toronto (C4400824) | Zoocasa","975,000","1,039,900",2,2,850,1,,
259,"713 - 208 Queens Quay W, Toronto (C4431970) | Zoocasa","480,000","484,900",1,1,550,0,,
262,"113 - 2351 Kennedy Rd, Toronto (E4371404) | Zoocasa","435,000","465,000",2,2,950,1,,
263,"1203 - 68 Canterbury Pl, Toronto (C4508937) | Zoocasa","443,000","399,000",1,1,550,0,,
265,"301 - 2835 Islington Ave, Toronto (W4497557) | Zoocasa","440,000","449,900",3,2,1300,1,,
268,"2704 - 10 Tangreen Crt, Toronto (C4503189) | Zoocasa","546,000","559,000",3,2,1300,1,,
269,"68 Royalavon Cres, Toronto (W4495989) | Zoocasa","1,310,000","1,399,900",5,2,2750,5,,
272,"Real Estate Listings Canada - Search MLS for houses, condos, property | Zoocasa",,,,,,,,
279,"9 Farningham Cres, Toronto (W4448179) | Zoocasa","2,075,000","2,198,000",4,4,N/A ,4,,
280,"20 Kilkenny Dr, Toronto (E4514134) | Zoocasa","1,005,605","900,000",3,3,N/A ,2,,
281,"6 Roseheath Ave, Toronto (E4519858) | Zoocasa","950,000","799,000",2,2,N/A ,0,,
285,"1101 - 150 Alton Towers Circ, Toronto (E4504574) | Zoocasa","405,000","395,000",2,2,1100,1,,
287,"710 - 21 Carlton St, Toronto (C4500791) | Zoocasa","740,000","750,000",2,2,850,1,,
